id,reportId,language,languageStyle,text,originalSyntheticText,sourceType,category,incidentCategory,severity,route,responsibleUnit,technicalIndicators,personalInformationLabels,incidentClusterId,expectedRedactedText,annotatorNotes,split
SYN-107,SYN-107,English,English,Files on the student portal are encrypted and a ransom note demands payment Reported by user6@example.test on 08030000006.,Files on the student portal are encrypted and a ransom note demands payment Reported by user6@example.test on 08030000006.,Offline submission,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-01,Files on the student portal are encrypted and a ransom note demands payment Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-227,SYN-227,English,English,The department cannot locate a portable drive used for student records,The department cannot locate a portable drive used for student records,TXT,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-05,The department cannot locate a portable drive used for student records,Deterministic synthetic example; human validation required.,train
SYN-614,SYN-614,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Offline submission,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-02,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-496,SYN-496,English,English,Repeated requests overwhelmed payroll and users cannot connect Reported by user45@example.test on 08030000045.,Repeated requests overwhelmed payroll and users cannot connect Reported by user45@example.test on 08030000045.,Image,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,Email; Nigerian telephone number,CL-10-09,Repeated requests overwhelmed payroll and users cannot connect Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-169,SYN-169,English,English,Antivirus detected malware on the bursary after an unknown attachment opened Reported by user18@example.test on 08030000018.,Antivirus detected malware on the bursary after an unknown attachment opened Reported by user18@example.test on 08030000018.,PDF,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-03,Antivirus detected malware on the bursary after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-490,SYN-490,English,English,Repeated requests overwhelmed library and users cannot connect Reported by user39@example.test on 08030000039.,Repeated requests overwhelmed library and users cannot connect Reported by user39@example.test on 08030000039.,PDF,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,Email; Nigerian telephone number,CL-10-07,Repeated requests overwhelmed library and users cannot connect Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-545,SYN-545,Nigerian Pidgin,Nigerian Pidgin,Staff wey wan leave copy restricted file from library,Staff wey wan leave copy restricted file from library,Screenshot,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-08,Staff wey wan leave copy restricted file from library,Deterministic synthetic example; human validation required.,test
SYN-206,SYN-206,English,English,The department cannot locate a portable drive used for student records,The department cannot locate a portable drive used for student records,TXT,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-01,The department cannot locate a portable drive used for student records,Deterministic synthetic example; human validation required.,train
SYN-505,SYN-505,Nigerian Pidgin,Nigerian Pidgin,Staff wey wan leave copy restricted file from library,Staff wey wan leave copy restricted file from library,PDF,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-00,Staff wey wan leave copy restricted file from library,Deterministic synthetic example; human validation required.,train
SYN-353,SYN-353,English,English,An unknown administrator accessed email from 192.0.2.3,An unknown administrator accessed email from 192.0.2.3,Screenshot,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.3,None,CL-08-00,An unknown administrator accessed email from 192.0.2.3,Deterministic synthetic example; human validation required.,train
SYN-610,SYN-610,English,English,I need the help desk opening time; no security incident occurred Reported by user9@example.test on 08030000009.,I need the help desk opening time; no security incident occurred Reported by user9@example.test on 08030000009.,Screenshot,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-01,I need the help desk opening time; no security incident occurred Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-627,SYN-627,English,English,Please explain how to update my contact details on student portal,Please explain how to update my contact details on student portal,TXT,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-05,Please explain how to update my contact details on student portal,Deterministic synthetic example; human validation required.,train
SYN-636,SYN-636,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Web form,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-07,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
